Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-GetUsers-1.0,,,,18-12-2024 11:41:41,18-12-2024 11:41:45,3.527s,PASSED
,,,,,,,
Test Cases/REST-1.0/TC-GetUsers-1.0,,,,18-12-2024 11:41:42,18-12-2024 11:41:45,3.255s,PASSED
"response = sendRequest(findTestObject(""REST1.0/GETUsers-1.0""))",,,,18-12-2024 11:41:42,18-12-2024 11:41:44,1.729s,PASSED
jsonResponse = JsonSlurper().parseText(response.getResponseBodyContent()),,,,18-12-2024 11:41:44,18-12-2024 11:41:44,0.055s,PASSED
userData = data,,,,18-12-2024 11:41:44,18-12-2024 11:41:44,0.008s,PASSED
"filePath = ""/Users/mahtabsiddique/Documents/samplefiles/file.xlsx""",,,,18-12-2024 11:41:44,18-12-2024 11:41:44,0.000s,PASSED
"sheetName = ""APIResponse""",,,,18-12-2024 11:41:44,18-12-2024 11:41:44,0.000s,PASSED
"ExcelUtils.writeDataToExcel(filePath, sheetName, userData)",,,,18-12-2024 11:41:44,18-12-2024 11:41:45,0.950s,PASSED
"response2 = sendRequest(findTestObject(""REST/Postman/Single-User""))",,,,18-12-2024 11:41:45,18-12-2024 11:41:45,0.155s,PASSED
