Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-GetUsers-1.0,,,,18-12-2024 09:53:42,18-12-2024 09:53:46,3.379s,PASSED
,,,,,,,
Test Cases/REST-1.0/TC-GetUsers-1.0,,,,18-12-2024 09:53:42,18-12-2024 09:53:46,3.120s,PASSED
"response = sendRequest(findTestObject(""REST1.0/GETUsers-1.0""))",,,,18-12-2024 09:53:43,18-12-2024 09:53:44,1.624s,PASSED
jsonResponse = JsonSlurper().parseText(response.getResponseBodyContent()),,,,18-12-2024 09:53:44,18-12-2024 09:53:44,0.045s,PASSED
userData = data,,,,18-12-2024 09:53:44,18-12-2024 09:53:44,0.009s,PASSED
"filePath = ""/Users/mahtabsiddique/Documents/samplefiles/file.xlsx""",,,,18-12-2024 09:53:44,18-12-2024 09:53:44,0.001s,PASSED
"sheetName = ""APIResponse""",,,,18-12-2024 09:53:44,18-12-2024 09:53:44,0.000s,PASSED
"ExcelUtils.writeDataToExcel(filePath, sheetName, userData)",,,,18-12-2024 09:53:44,18-12-2024 09:53:45,0.940s,PASSED
"response2 = sendRequest(findTestObject(""REST/Postman/Single-User""))",,,,18-12-2024 09:53:45,18-12-2024 09:53:46,0.163s,PASSED
